OrderID,ProductID, UnitPrice ,Quantity,Discount %,  Gross Revenue  , Discount ,  Net Revenue  
10251,65, $16.80 ,20,0%, $336.00 , $-   , $336.00 
10253,31, $10.00 ,20,0%, $200.00 , $-   , $200.00 
10255,2, $15.20 ,20,0%, $304.00 , $-   , $304.00 
10261,21, $8.00 ,20,0%, $160.00 , $-   , $160.00 
10261,35, $14.40 ,20,0%, $288.00 , $-   , $288.00 
10265,70, $12.00 ,20,0%, $240.00 , $-   , $240.00 
10273,33, $2.00 ,20,0%, $40.00 , $-   , $40.00 
10274,71, $17.20 ,20,0%, $344.00 , $-   , $344.00 
10277,28, $36.40 ,20,0%, $728.00 , $-   , $728.00 
10280,55, $19.20 ,20,0%, $384.00 , $-   , $384.00 
10283,15, $12.40 ,20,0%, $248.00 , $-   , $248.00 
10287,34, $11.20 ,20,0%, $224.00 , $-   , $224.00 
10290,5, $17.00 ,20,0%, $340.00 , $-   , $340.00 
10292,20, $64.80 ,20,0%," $1,296.00 ", $-   ," $1,296.00 "
10297,72, $27.80 ,20,0%, $556.00 , $-   , $556.00 
10299,70, $12.00 ,20,0%, $240.00 , $-   , $240.00 
10300,68, $10.00 ,20,0%, $200.00 , $-   , $200.00 
10301,56, $30.40 ,20,0%, $608.00 , $-   , $608.00 
10309,4, $17.60 ,20,0%, $352.00 , $-   , $352.00 
10309,43, $36.80 ,20,0%, $736.00 , $-   , $736.00 
10312,53, $26.20 ,20,0%, $524.00 , $-   , $524.00 
10317,1, $14.40 ,20,0%, $288.00 , $-   , $288.00 
10318,41, $7.70 ,20,0%, $154.00 , $-   , $154.00 
10322,52, $5.60 ,20,0%, $112.00 , $-   , $112.00 
10337,36, $15.20 ,20,0%, $304.00 , $-   , $304.00 
10338,17, $31.20 ,20,0%, $624.00 , $-   , $624.00 
10346,56, $30.40 ,20,0%, $608.00 , $-   , $608.00 
10356,69, $28.80 ,20,0%, $576.00 , $-   , $576.00 
10362,51, $42.40 ,20,0%, $848.00 , $-   , $848.00 
10363,31, $10.00 ,20,0%, $200.00 , $-   , $200.00 
10369,29, $99.00 ,20,0%," $1,980.00 ", $-   ," $1,980.00 "
10383,13, $4.80 ,20,0%, $96.00 , $-   , $96.00 
10383,56, $30.40 ,20,0%, $608.00 , $-   , $608.00 
10389,62, $39.40 ,20,0%, $788.00 , $-   , $788.00 
10401,65, $16.80 ,20,0%, $336.00 , $-   , $336.00 
10415,33, $2.00 ,20,0%, $40.00 , $-   , $40.00 
10416,19, $7.30 ,20,0%, $146.00 , $-   , $146.00 
10416,57, $15.60 ,20,0%, $312.00 , $-   , $312.00 
10423,59, $44.00 ,20,0%, $880.00 , $-   , $880.00 
10428,46, $9.60 ,20,0%, $192.00 , $-   , $192.00 
10448,40, $14.70 ,20,0%, $294.00 , $-   , $294.00 
10449,52, $5.60 ,20,0%, $112.00 , $-   , $112.00 
10455,39, $14.40 ,20,0%, $288.00 , $-   , $288.00 
10458,43, $36.80 ,20,0%, $736.00 , $-   , $736.00 
10464,60, $27.20 ,20,0%, $544.00 , $-   , $544.00 
10465,40, $14.70 ,20,0%, $294.00 , $-   , $294.00 
10471,56, $30.40 ,20,0%, $608.00 , $-   , $608.00 
10495,41, $7.70 ,20,0%, $154.00 , $-   , $154.00 
10499,28, $45.60 ,20,0%, $912.00 , $-   , $912.00 
10501,54, $7.45 ,20,0%, $149.00 , $-   , $149.00 
10503,65, $21.05 ,20,0%, $421.00 , $-   , $421.00 
10516,42, $14.00 ,20,0%, $280.00 , $-   , $280.00 
10529,68, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10530,61, $28.50 ,20,0%, $570.00 , $-   , $570.00 
10536,31, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10537,58, $13.25 ,20,0%, $265.00 , $-   , $265.00 
10557,75, $7.75 ,20,0%, $155.00 , $-   , $155.00 
10558,51, $53.00 ,20,0%," $1,060.00 ", $-   ," $1,060.00 "
10560,30, $25.89 ,20,0%, $517.80 , $-   , $517.80 
10576,31, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10577,75, $7.75 ,20,0%, $155.00 , $-   , $155.00 
10578,35, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10587,35, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10587,77, $13.00 ,20,0%, $260.00 , $-   , $260.00 
10590,1, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10597,57, $19.50 ,20,0%, $390.00 , $-   , $390.00 
10618,56, $38.00 ,20,0%, $760.00 , $-   , $760.00 
10621,70, $15.00 ,20,0%, $300.00 , $-   , $300.00 
10622,2, $19.00 ,20,0%, $380.00 , $-   , $380.00 
10626,60, $34.00 ,20,0%, $680.00 , $-   , $680.00 
10626,71, $21.50 ,20,0%, $430.00 , $-   , $430.00 
10629,29, $123.79 ,20,0%," $2,475.80 ", $-   ," $2,475.80 "
10638,45, $9.50 ,20,0%, $190.00 , $-   , $190.00 
10644,43, $46.00 ,20,0%, $920.00 , $-   , $920.00 
10645,18, $62.50 ,20,0%," $1,250.00 ", $-   ," $1,250.00 "
10647,39, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10649,28, $45.60 ,20,0%, $912.00 , $-   , $912.00 
10652,42, $14.00 ,20,0%, $280.00 , $-   , $280.00 
10665,51, $53.00 ,20,0%," $1,060.00 ", $-   ," $1,060.00 "
10684,40, $18.40 ,20,0%, $368.00 , $-   , $368.00 
10685,10, $31.00 ,20,0%, $620.00 , $-   , $620.00 
10692,63, $43.90 ,20,0%, $878.00 , $-   , $878.00 
10695,24, $4.50 ,20,0%, $90.00 , $-   , $90.00 
10696,17, $39.00 ,20,0%, $780.00 , $-   , $780.00 
10705,31, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10706,16, $17.45 ,20,0%, $349.00 , $-   , $349.00 
10718,16, $17.45 ,20,0%, $349.00 , $-   , $349.00 
10718,62, $49.30 ,20,0%, $986.00 , $-   , $986.00 
10732,76, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10733,28, $45.60 ,20,0%, $912.00 , $-   , $912.00 
10734,76, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10736,75, $7.75 ,20,0%, $155.00 , $-   , $155.00 
10742,3, $10.00 ,20,0%, $200.00 , $-   , $200.00 
10758,26, $31.23 ,20,0%, $624.60 , $-   , $624.60 
10763,24, $4.50 ,20,0%, $90.00 , $-   , $90.00 
10769,61, $28.50 ,20,0%, $570.00 , $-   , $570.00 
10779,16, $17.45 ,20,0%, $349.00 , $-   , $349.00 
10779,62, $49.30 ,20,0%, $986.00 , $-   , $986.00 
10797,11, $21.00 ,20,0%, $420.00 , $-   , $420.00 
10809,52, $7.00 ,20,0%, $140.00 , $-   , $140.00 
10812,77, $13.00 ,20,0%, $260.00 , $-   , $260.00 
10814,41, $9.65 ,20,0%, $193.00 , $-   , $193.00 
10818,32, $32.00 ,20,0%, $640.00 , $-   , $640.00 
10818,41, $9.65 ,20,0%, $193.00 , $-   , $193.00 
10819,75, $7.75 ,20,0%, $155.00 , $-   , $155.00 
10821,35, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10825,53, $32.80 ,20,0%, $656.00 , $-   , $656.00 
10829,8, $40.00 ,20,0%, $800.00 , $-   , $800.00 
10842,68, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10846,74, $10.00 ,20,0%, $200.00 , $-   , $200.00 
10856,2, $19.00 ,20,0%, $380.00 , $-   , $380.00 
10856,42, $14.00 ,20,0%, $280.00 , $-   , $280.00 
10860,76, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10861,18, $62.50 ,20,0%," $1,250.00 ", $-   ," $1,250.00 "
10868,26, $31.23 ,20,0%, $624.60 , $-   , $624.60 
10869,68, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10873,21, $10.00 ,20,0%, $200.00 , $-   , $200.00 
10876,64, $33.25 ,20,0%, $665.00 , $-   , $665.00 
10885,2, $19.00 ,20,0%, $380.00 , $-   , $380.00 
10888,2, $19.00 ,20,0%, $380.00 , $-   , $380.00 
10893,36, $19.00 ,20,0%, $380.00 , $-   , $380.00 
10903,68, $12.50 ,20,0%, $250.00 , $-   , $250.00 
10916,57, $19.50 ,20,0%, $390.00 , $-   , $390.00 
10919,40, $18.40 ,20,0%, $368.00 , $-   , $368.00 
10927,76, $18.00 ,20,0%, $360.00 , $-   , $360.00 
10934,6, $25.00 ,20,0%, $500.00 , $-   , $500.00 
10937,34, $14.00 ,20,0%, $280.00 , $-   , $280.00 
10940,13, $6.00 ,20,0%, $120.00 , $-   , $120.00 
10945,13, $6.00 ,20,0%, $120.00 , $-   , $120.00 
10958,5, $21.35 ,20,0%, $427.00 , $-   , $427.00 
10962,53, $32.80 ,20,0%, $656.00 , $-   , $656.00 
10976,28, $45.60 ,20,0%, $912.00 , $-   , $912.00 
10977,63, $43.90 ,20,0%, $878.00 , $-   , $878.00 
10979,12, $38.00 ,20,0%, $760.00 , $-   , $760.00 
10982,7, $30.00 ,20,0%, $600.00 , $-   , $600.00 
10984,24, $4.50 ,20,0%, $90.00 , $-   , $90.00 
10987,72, $34.80 ,20,0%, $696.00 , $-   , $696.00 
10995,51, $53.00 ,20,0%," $1,060.00 ", $-   ," $1,060.00 "
10998,74, $10.00 ,20,0%, $200.00 , $-   , $200.00 
11010,7, $30.00 ,20,0%, $600.00 , $-   , $600.00 
11011,71, $21.50 ,20,0%, $430.00 , $-   , $430.00 
11013,45, $9.50 ,20,0%, $190.00 , $-   , $190.00 
11018,12, $38.00 ,20,0%, $760.00 , $-   , $760.00 
11029,56, $38.00 ,20,0%, $760.00 , $-   , $760.00 
11031,64, $33.25 ,20,0%, $665.00 , $-   , $665.00 
11039,28, $45.60 ,20,0%, $912.00 , $-   , $912.00 
11040,21, $10.00 ,20,0%, $200.00 , $-   , $200.00 
11053,32, $32.00 ,20,0%, $640.00 , $-   , $640.00 
11054,67, $14.00 ,20,0%, $280.00 , $-   , $280.00 
11055,51, $53.00 ,20,0%," $1,060.00 ", $-   ," $1,060.00 "
11055,57, $19.50 ,20,0%, $390.00 , $-   , $390.00 
11069,39, $18.00 ,20,0%, $360.00 , $-   , $360.00 
11070,31, $12.50 ,20,0%, $250.00 , $-   , $250.00 
11073,24, $4.50 ,20,0%, $90.00 , $-   , $90.00 
10248,42, $9.80 ,10,0%, $98.00 , $-   , $98.00 
10250,41, $7.70 ,10,0%, $77.00 , $-   , $77.00 
10259,21, $8.00 ,10,0%, $80.00 , $-   , $80.00 
10268,29, $99.00 ,10,0%, $990.00 , $-   , $990.00 
10276,13, $4.80 ,10,0%, $48.00 , $-   , $48.00 
10290,77, $10.40 ,10,0%, $104.00 , $-   , $104.00 
10293,24, $3.60 ,10,0%, $36.00 , $-   , $36.00 
10301,40, $14.70 ,10,0%, $147.00 , $-   , $147.00 
10304,59, $44.00 ,10,0%, $440.00 , $-   , $440.00 
10306,30, $20.70 ,10,0%, $207.00 , $-   , $207.00 
10306,53, $26.20 ,10,0%, $262.00 , $-   , $262.00 
10307,62, $39.40 ,10,0%, $394.00 , $-   , $394.00 
10310,16, $13.90 ,10,0%, $139.00 , $-   , $139.00 
10312,75, $6.20 ,10,0%, $62.00 , $-   , $62.00 
10316,41, $7.70 ,10,0%, $77.00 , $-   , $77.00 
10321,35, $14.40 ,10,0%, $144.00 , $-   , $144.00 
10328,68, $10.00 ,10,0%, $100.00 , $-   , $100.00 
10333,14, $18.60 ,10,0%, $186.00 , $-   , $186.00 
10334,68, $10.00 ,10,0%, $100.00 , $-   , $100.00 
10339,4, $17.60 ,10,0%, $176.00 , $-   , $176.00 
10347,25, $11.20 ,10,0%, $112.00 , $-   , $112.00 
10352,24, $3.60 ,10,0%, $36.00 , $-   , $36.00 
10360,38, $210.80 ,10,0%," $2,108.00 ", $-   ," $2,108.00 "
10375,54, $5.90 ,10,0%, $59.00 , $-   , $59.00 
10386,34, $11.20 ,10,0%, $112.00 , $-   , $112.00 
10394,13, $4.80 ,10,0%, $48.00 , $-   , $48.00 
10394,62, $39.40 ,10,0%, $394.00 , $-   , $394.00 
10406,1, $14.40 ,10,0%, $144.00 , $-   , $144.00 
10408,37, $20.80 ,10,0%, $208.00 , $-   , $208.00 
10416,53, $26.20 ,10,0%, $262.00 , $-   , $262.00 
10432,26, $24.90 ,10,0%, $249.00 , $-   , $249.00 
10435,2, $15.20 ,10,0%, $152.00 , $-   , $152.00 
10435,72, $27.80 ,10,0%, $278.00 , $-   , $278.00 
10444,17, $31.20 ,10,0%, $312.00 , $-   , $312.00 
