???????? ??????,ORDER NUMBER,??????,?????????,???? ????,????????,?????????, ???????? ???? - ( NET ) , ??????????????? ???? , Promotion Fee , ???? ????????? - Label , ??????? ?????????? ??????? ,??????,Weight,Dimensions CM,???????
27.12.2022,14-09512-78357,???????,1,UNI,1Z14V36V0308020442,G-Flex, $15.07 , $6.75 , $2.42 , $9.89 , $2.22 , $(6.21),0.5,56/16/6,???
27.12.2022,19-09498-83356,???????,1,UNI,1Z14V36V0313842241,G-Flex, $15.09 , $6.75 , $2.40 , $7.52 , $2.22 , $(3.80),0.5,56/16/6,???
27.12.2022,26-09497-28899,???????,1,UNI,1Z14V36V0310435768,G-Flex, $15.05 , $6.75 , $2.31 , $8.71 , $2.22 , $(4.94),0.5,56/16/6,???
27.12.2022,22-09491-62585,??????? ???????,1,LD-A4B8-024,1Z14V36V0300166943,G-Flex, $84.15 , $24.30 , $8.82 , $22.46 , $40.75 , $(12.18),,,???
27.12.2022,03-09501-87408,??????? ???????,1,LD-A4B8PA-020,"393203832773,",,,,,,,,,,
27.12.2022,25-09510-67091,???????,2,UNI,LTN229188990N1,Boxette, $29.48 , $17.93 , $5.37 , $-   , $4.44 , $1.74 ,0.55,60/17/6,??????????
28.12.2022,01-09522-20841,???????,1,UNI,"9400108205497590046009,",G-Flex, $17.59 , $5.75 , $2.73 , $6.22 , $2.22 , $0.67 ,0.345,55/18/5,???
30.12.2022,11-09524-80706,???????,1,UNI,"9400108205496411945682,",G-Flex, $17.60 , $5.75 , $-   , $3.90 , $2.22 , $5.73 ,0.31,55.5/18.5/4.5,???
30.12.2022,20-09522-30768,???????,1,UNI,LTN229913869N1,Boxette, $17.51 , $16.53 , $1.98 , $-   , $2.22 , $(3.22),0.31,57/16/4,?????????
31.12.2022,02-09532-54133,???????,2,UNI,1Z14V36V0339532564,G-Flex, $26.51 , $5.75 , $-   , $8.41 , $4.44 , $7.91 ,0.475,55/18/5,???
JANUARY,,,,,,, $238.05 ,,,,, $(14.30),,,
04.01.2023,12-09541-31930,???????,1,UNI,"9400108205496411947945,",G-Flex, $17.60 , $5.75 , $2.82 , $6.22 , $2.22 , $0.59 ,0.345,55/19.5/3.5,???
05.01.2023,08-09546-52451,???????,1,UNI,"9400108205496411949178,",G-Flex, $17.56 , $5.75 , $2.86 , $5.85 , $2.22 , $0.88 ,0.34,55/17.5/4.5,???
06.01.2023,10-09547-39756,???????,1,UNI,"9400108205497590049437,",G-Flex, $16.46 , $5.75 , $2.71 , $6.44 , $2.22 , $(0.66),0.32,55.5/16/4.5,???
10.01.2023,10-09564-35843,????? ??????,1,"	
LD-A4B8PA-014-A",LTN230744060N1,Boxette, $36.97 , $25.68 , $-   , $-   , $9.31 , $1.98 ,0.37,80/11/8,??????
12.01.2023,15-09568-71896,???????,1,UNI,1Z14V36V0305032195,G-Flex, $17.60 , $5.75 , $-   , $7.93 , $2.23 , $1.69 ,0.36,56.5/16/4, ???
14.01.2023,08-09579-60644,???????,1,UNI,"9400108205496412305713,",G-Flex, $17.50 , $5.75 , $-   , $6.78 , $2.26 , $2.71 ,0.41,55.5/17/5,???
15.01.2023,13-09580-25525,???????,2,UNI,"9400108205496412313015,",G-Flex, $31.40 , $5.75 , $4.51 , $6.00 , $4.52 , $10.62 ,0.45,55/16.5/5.5,???
16.01.2023,02-09591-90088,,,,,,,,,,,,,,
16.01.2023,18-09582-96775,???????,4,UNI,LTN231658111N1,Boxette, $78.79 , $37.05 , $-   , $-   , $9.04 , $32.70 ,0.94,57/18/11,???????
16.01.2023,04-09589-10653,???????,1,UNI,"9400108205496412329436,",G-Flex, $17.57 , $5.75 , $2.71 , $4.88 , $2.26 , $1.97 ,0.34,56/17/4,???
17.01.2023,03-09592-70227,"????? ???? ??????, LED. ???????",1,LD-A4B8-004,GETB56838955982,Barami, $149.82 , $26.48 , $-   , $7.82 , $95.15 , $20.37 ,1.82,38/31/18,???
18.01.2023,25-09589-16291,AUDI A4 2013-15 ????? ??????,1,LD-A4B8PA-014-A,LTN231843471N1,Boxette, $37.84 , $21.20 , $2.35 , $-   , $9.31 , $4.98 ,0.324,82/10/6,??????
18.01.2023,15-09593-53488,???????,1,UNI,"9400108205497590434653,",G-Flex, $17.63 , $5.75 , $-   , $4.81 , $2.24 , $4.83 ,0.3,55/18/5,???
20.01.2023,26-09599-62306,???????,1,UNI,"9400108205496420915515,",G-Flex, $17.61 , $5.75 , $2.81 , $6.22 , $2.26 , $0.57 ,,,???
23.01.2023,07-09617-28768,???????,1,UNI,LTN232703464N1,Boxette, $20.67 , $21.17 , $3.34 , $-   , $2.26 , $(6.10),0.2,55/14/4,?????
24.01.2023,01-09623-23864,???????,2,UNI,LTN232703629N1,Boxette, $39.11 , $21.27 , $-   , $-   , $4.54 , $13.30 ,0.358,55/15/5,??????
25.01.2023,16-09621-09478,???????,1,UNI,"9400108205497599352934,",G-Flex, $16.49 , $5.75 , $2.57 , $5.85 , $2.27 , $0.05 ,0.315,55/17/5,???
27.01.2023,13-09629-75054,GOOD YEAR ??????,1,24050,"9400108205497617869727,",G-Flex, $21.32 , $5.75 , $2.28 , $6.07 , $8.56 , $(1.34),0.45,17/13/9,???
27.01.2023,19-09631-99863,audi A4 ???? ????.????,1,LD-A4B8-070,"9400108205496447952753,",G-Flex, $15.81 , $5.75 , $2.63 , $4.09 , $3.80 , $(0.46),0.12,16/3/2,???
28.01.2023,03-09638-91250,???????,2,UNI,LTN233442565N1, Boxette , $49.40 , $21.36 , $3.88 , $-   , $4.56 , $19.60 ,0.34,55/14/5,???????
28.01.2023,21-09631-71843,,,,,,,,,,,,,,
29.01.2023,01-09643-57901,???????,2,UNI,"9400108205496447932571,", G-Flex , $30.21 , $5.75 , $4.52 , $5.93 , $4.56 , $9.45 ,0.458,55/16/6,???
29.01.2023,17-09639-93213,???????,1,UNI,LTN233567538N1, Boxette , $16.18 , $16.21 , $2.80 , $-   , $2.28 , $(5.11),0.178,54/15/3,?????????
FEBRUARY,,,,,,, $683.54 ,,,,, $112.62 ,,,
02.02.2023,25-09650-41233,???????,1,UNI,"9400108205496447697753,", G-Flex , $17.60 , $5.75 , $2.69 , $6.78 , $2.28 , $0.10 ,0.29,55/14/3,???
02.02.2023,13-09655-67524,???????,1,UNI,"	
LTN234334612N1",Boxette, $28.31 , $18.22 , $2.51 , $-   , $2.28 , $(10.20),0.23,54/15/3,???????
03.02.2023,21-09656-18056,???????,1,UNI,1Z14V36V0305857214, G-Flex , $16.51 , $5.75 , $-   , $9.17 , $2.28 , $(20.68),0.286,55/14/4,???
04.02.2023,15-09663-77671,???????,1,UNI,"9400108205497640145539,", G-Flex , $17.57 , $5.75 , $2.71 , $6.07 , $2.28 , $0.76 ,0.26,55/14/3,???
04.02.2023,20-09663-47416,???????,2,UNI,1Z14V36V0334448281, G-Flex , $30.18 , $5.75 , $-   , $7.52 , $4.56 , $12.35 ,0.55,55/16/5,???
04.02.2023,13-09667-14236,???????,1,UNI,"9400108205496470032699,", G-Flex , $17.55 , $5.75 , $2.73 , $6.00 , $2.28 , $0.79 ,0.24,43/14/3,???
05.02.2023,18-09665-30067,???????,2,UNI,LTN234348412N1, Boxette , $37.43 , $16.41 , $-   , $-   , $4.56 , $16.46 ,0.316,54/14/3,????????
05.02.2023,16-09669-21195,???????,1,UNI,LTN234331683N1, Boxette , $20.90 , $16.86 , $3.03 , $-   , $2.28 , $(1.27),0.23,54/15/3,??????????
07.02.2023,20-09673-16867,???????,1,UNI,"9400108205496470033245,",G-Flex, $17.63 , $5.75 , $2.66 , $5.93 , $2.28 , $1.01 ,0.276,55/16/3,???
09.02.2023,10-09682-47126,GOOD YEAR ??????,2,24050,1Z14V3880325695109, G-Flex , $53.98 , $10.01 , $4.84 , $7.52 , $16.89 , $14.73 ,0.87,18/17/12.5,???
09.02.2023,08-09683-44329,??????? ,1,UNI,"9400108205496504526293,", G-Flex , $16.47 , $5.75 , $2.57 , $4.88 , $2.27 , $1.00 ,0.24,53/14/2,???
09.02.2023,26-09679-09898,???????,1,UNI,LTN235109467N1, Boxette , $24.70 , $18.50 , $2.51 , $-   , $2.27 , $1.42 ,0.23,54/14/2,???????
10.02.2023,10-09686-73124,???????,1,UNI,"9400108205497666918919,", G-Flex , $17.57 , $5.75 , $-   , $4.74 , $2.25 , $4.83 ,0.242,54/14/2,???
11.02.2023,05-09692-47514,???????,2,UNI,"9400108205496504529300,", G-Flex , $30.43 , $5.75 , $4.25 , $6.78 , $4.50 , $9.15 ,0.38,54/14/3,???
11.02.2023,11-09692-32657,???????? ?????????,1,Y-HDGM166P-00-005,1Z14V3880305765839, G-Flex , $92.01 , $9.45 , $7.15 , $11.42 , $47.18 , $16.81 ,0.665,84/17/12,???
12.02.2023,05-09696-61246,???????,1,UNI,LTN235109515N1,Boxette, $15.78 , $16.41 , $-   , $-   , $2.25 , $(2.88),0.22,54/14/2,?????????
13.02.2023,12-09698-13019,GOOD YEAR ??????,1,24050,"	
LTN235109615N1", Boxette , $38.83 , $22.93 , $2.48 , $-   , $8.44 , $4.98 ,0.43,17/12.5/9,???????
13.02.2023,01-09703-50573,Audi A4 ???? ????.????,1,LD-A4B8-070,"9400108205497666922923,", G-Flex , $21.49 , $5.75 , $3.27 , $3.81 , $3.77 , $4.89 ,0.03,11/3/,???
13.02.2023,23-09695-11929,???????,1,UNI,"	
LTN235109395N1", Boxette , $21.04 , $15.30 , $2.91 , $-   , $2.25 , $0.58 ,0.216,53/14/2,????????
15.02.2023,05-09712-12291,???????,2,UNI,LTN235373016N1, Boxette , $38.89 , $17.67 , $5.89 , $-   , $4.52 , $10.81 ,0.38,54/14/3,????????
16.02.2023,08-09712-27095,???????,2,UNI,"9400108205496525770392,", G-Flex , $29.91 , $5.75 , $4.86 , $6.00 , $4.52 , $8.78 ,0.376,54/14/3,???
16.02.2023,06-09713-63883,???????,1,UNI,"9400108205496525784344,", G-Flex , $17.52 , $5.75 , $2.80 , $4.69 , $2.26 , $2.02 ,0.23,54/14/2,???
18.02.2023,13-09717-46088,???????,1,UNI,"9400108205497676570794,", G-Flex , $17.50 , $5.75 , $-   , $4.88 , $2.26 , $4.61 ,0.244,54/14/2,???
18.02.2023,01-09722-87038,???????,1,UNI,"9400108205497676578622,", G-Flex , $17.52 , $5.75 , $2.67 , $4.69 , $2.26 , $2.15 ,0.248,54/14/2,???
19.02.2023,08-09722-34055,???????,1,UNI,"9400108205496525809726,", G-Flex , $17.52 , $5.75 , $-   , $4.88 , $2.27 , $4.62 ,0.236,54/14/2,???
19.02.2023,13-09720-64076,???????,1,UNI,"9400108205496525818742,", G-Flex , $17.52 , $5.75 , $2.67 , $4.88 , $2.27 , $1.95 ,0.232,53/14/2,???
20.02.2023,24-09735-23356,???????,2,UNI,LTN235883675N1, Boxette , $43.99 , $17.53 , $3.39 , $-   , $4.52 , $18.55 ,0.37,53/14/2,??????????
21.02.2023,09-09732-24603,GOOD YEAR ??????,2,24050,"1Z14V3880306161739,", G-Flex , $44.30 , $10.38 , $3.42 , $8.71 , $17.01 , $4.78 ,0.854,18/17/12.5,???
